date,stock_id,buy,name,sell
2012-12-12,2330,34600000,Foreign_Investor,33434656
2012-12-12,2330,959000,Investment_Trust,603000
2012-12-13,2330,1473000,Dealer,368000
2012-12-13,2330,31619111,Foreign_Investor,27476668
2012-12-13,2330,433000,Investment_Trust,41000
2012-12-14,2330,527000,Dealer,464000
2012-12-14,2330,25499654,Foreign_Investor,22716295
2012-12-14,2330,230000,Investment_Trust,42000
2012-12-17,2330,957000,Dealer,566000
2012-12-17,2330,30469260,Foreign_Investor,39249565
2012-12-17,2330,835000,Investment_Trust,551000
2012-12-18,2330,1767000,Dealer,167000
2012-12-18,2330,23498000,Foreign_Investor,29706837
2012-12-18,2330,165000,Investment_Trust,89000
2012-12-19,2330,423000,Dealer,1137000
2012-12-19,2330,22754849,Foreign_Investor,18949406
2012-12-19,2330,542000,Investment_Trust,385000
2012-12-20,2330,1244000,Dealer,1601559
2012-12-20,2330,21687000,Foreign_Investor,23505921
2012-12-20,2330,240000,Investment_Trust,583000
2012-12-21,2330,1205000,Dealer,606000
2012-12-21,2330,19126000,Foreign_Investor,25923927
2012-12-21,2330,684000,Investment_Trust,534000
2012-12-22,2330,473000,Dealer,859994
2012-12-22,2330,1171000,Foreign_Investor,19000
2012-12-22,2330,714000,Investment_Trust,51000
2012-12-24,2330,769000,Dealer,676000
2012-12-24,2330,10772000,Foreign_Investor,7091309
2012-12-24,2330,389000,Investment_Trust,321000
2012-12-25,2330,978000,Dealer,930000
2012-12-25,2330,9226000,Foreign_Investor,1700000
2012-12-25,2330,598000,Investment_Trust,57000
2012-12-26,2330,662000,Dealer,539000
2012-12-26,2330,7248000,Foreign_Investor,2387000
2012-12-26,2330,438000,Investment_Trust,213000
2012-12-27,2330,1784012,Dealer,1755000
2012-12-27,2330,15609000,Foreign_Investor,12214346
2012-12-27,2330,473000,Investment_Trust,310000
2012-12-28,2330,828000,Dealer,2225000
2012-12-28,2330,18198000,Foreign_Investor,8819517
2012-12-28,2330,722000,Investment_Trust,928000
2013-01-02,2330,1300000,Dealer,1650000
2013-01-02,2330,22484489,Foreign_Investor,8625316
2013-01-02,2330,1746000,Investment_Trust,147000
2013-01-03,2330,1512000,Dealer,2579000
2013-01-03,2330,32303100,Foreign_Investor,17347912
2013-01-03,2330,926000,Investment_Trust,516000
2013-01-04,2330,910000,Dealer,1156000
2013-01-04,2330,33581806,Foreign_Investor,24337195
2013-01-04,2330,234000,Investment_Trust,190000
2013-01-07,2330,871000,Dealer,1321000
2013-01-07,2330,26613000,Foreign_Investor,26952300
2013-01-07,2330,203000,Investment_Trust,925000
2013-01-08,2330,749000,Dealer,829000
2013-01-08,2330,16628200,Foreign_Investor,15087374
2013-01-08,2330,209000,Investment_Trust,635000
2013-01-09,2330,1033000,Dealer,384000
2013-01-09,2330,16348023,Foreign_Investor,10594316
2013-01-09,2330,130000,Investment_Trust,243000
2013-01-10,2330,1045000,Dealer,249000
2013-01-10,2330,30684000,Foreign_Investor,27766853
2013-01-10,2330,151000,Investment_Trust,163000
2013-01-11,2330,262000,Dealer,331000
2013-01-11,2330,18831186,Foreign_Investor,10635515
2013-01-11,2330,102000,Investment_Trust,352000
2013-01-14,2330,475000,Dealer,508000
2013-01-14,2330,19081000,Foreign_Investor,10716350
2013-01-14,2330,120000,Investment_Trust,0
2013-01-15,2330,826000,Dealer,1079000
2013-01-15,2330,26503958,Foreign_Investor,27884661
2013-01-15,2330,300000,Investment_Trust,499000
2013-01-16,2330,1181000,Dealer,344000
2013-01-16,2330,24600054,Foreign_Investor,24029840
2013-01-16,2330,39000,Investment_Trust,4272000
2013-01-17,2330,803000,Dealer,1498000
2013-01-17,2330,30502500,Foreign_Investor,28912733
2013-01-17,2330,696000,Investment_Trust,404586
2013-01-18,2330,2577000,Dealer,2889000
2013-01-18,2330,42034278,Foreign_Investor,20184000
2013-01-18,2330,732000,Investment_Trust,1475000
2013-01-21,2330,941000,Dealer,662000
2013-01-21,2330,10863700,Foreign_Investor,12231817
2013-01-21,2330,591000,Investment_Trust,617000
2013-01-22,2330,452000,Dealer,387000
2013-01-22,2330,18759000,Foreign_Investor,15376144
2013-01-22,2330,476000,Investment_Trust,184000
2013-01-23,2330,503000,Dealer,559000
2013-01-23,2330,28841000,Foreign_Investor,23924717
2013-01-23,2330,112000,Investment_Trust,332000
2013-01-24,2330,896000,Dealer,1911000
2013-01-24,2330,23209130,Foreign_Investor,34795226
2013-01-24,2330,211000,Investment_Trust,293000
2013-01-25,2330,1034000,Dealer,597000
2013-01-25,2330,29776410,Foreign_Investor,40988523
2013-01-25,2330,16000,Investment_Trust,1254000
2013-01-28,2330,795000,Dealer,1417000
2013-01-28,2330,20373000,Foreign_Investor,24455000
2013-01-28,2330,125000,Investment_Trust,17000
2013-01-29,2330,193000,Dealer,3274000
